COQQ-62 addNso,0.002129,0.093
COQQ-63 scale1so,0.083687,0.027
COQQ-64 scalesoDl,0.105333,1.014
COQQ-65 scalesoDr,0.261839,0.126
COQQ-66 scalesoA,0.09094,0.041
COQQ-67 abort_soE,0.000372,0.003
COQQ-68 add_soE,0.240906,0.073
COQQ-69 opp_soE,0.089315,0.036
COQQ-6 lftrace_conj,0.02268,0.011
COQQ-70 sum_soE,0.133052,0.04
COQQ-71 scale_soE,0.089379,0.036
COQQ-72 comp_soElr,0.192744,0.085
COQQ-73 comp_soErl,0.191745,0.085
COQQ-74 id_soE,0.021229,0.006
COQQ-75 comp_soE,0.19301,0.083
COQQ-76 comp_sorE,0.192124,0.083
COQQ-77 comp_soA,0.384844,0.164
COQQ-78 comp_sorA,0.385893,0.165
COQQ-79 linear_comp_so,0.548322,0.292
COQQ-7 outp_trlf,0.014252,0.006
COQQ-80 linear_compr_so,0.547094,0.327
COQQ-81 linear_comp_sor,0.54565,0.299
COQQ-82 linear_compr_sor,0.542732,0.293
COQQ-83 comp_so1l,0.084142,0.028
COQQ-84 comp_so1r,0.083228,0.029
COQQ-85 comp_so0l,0.000344,0.005
COQQ-86 comp_so0r,0.000984,0.007
COQQ-87 comp_soDl,0.535694,0.251
COQQ-88 comp_soDr,0.536083,0.355
COQQ-89 comp_soNl,0.206632,0.116
COQQ-8 sumeb_out,0.009213,0.005
COQQ-90 comp_soNr,0.207424,0.111
COQQ-91 comp_soZl,0.209722,0.116
COQQ-92 comp_soZr,0.211277,0.112
COQQ-93 comp_soPl,0.55811,0.301
COQQ-94 comp_soPr,0.548367,0.292
COQQ-95 comp_sor1l,0.085673,0.028
COQQ-96 comp_sor1r,0.084535,0.028
COQQ-97 comp_sor0l,0.001004,0.007
COQQ-98 comp_sor0r,0.000312,0.005
COQQ-99 comp_sorDl,0.533937,0.249
COQQ-9 delta_lf_eb,0.027019,0.004
